Amount_Spent,Transaction_Type,Date
725.36,Butcher,11/10/2023
120.95,Clothing Store,3/20/2024
23.72,Online Course,7/29/2024
45.41,Hair Salon,9/21/2023
571.6,Gardening Service,7/25/2024
543.27,Grocery Store,4/10/2024
427.87,Spa,11/15/2023
282.98,Legal Service,6/19/2024
603.1,Furniture Store,6/25/2024
802.9,Furniture Store,1/14/2024
743.23,Childcare Service,2/27/2024
521.05,Deli,8/21/2023
310.73,Property Tax,12/9/2023
572.6,Clothing Store,9/26/2023
170.73,Charity Donation,7/7/2024
170.38,Airline Ticket,6/7/2024
816.89,Dentist,3/3/2024
239.53,Freelance Payment,6/19/2024
479.08,Public Transport,9/21/2023
480.55,Electronics Store,12/30/2023
739.03,House Cleaning,4/24/2024
374.41,Uber,12/7/2023
192.26,Gift Shop,7/16/2024
502.54,Gardening Service,9/28/2023
827.77,Freelance Payment,5/19/2024
238.69,Insurance Payment,9/18/2023
182.86,Concert Ticket,7/1/2024
528.36,Online Course,7/13/2024
602.45,Video Game Store,4/28/2024
691.72,Electronics Store,10/12/2023
661.41,Home Improvement,9/2/2023
814.92,Amazon,2/24/2024
810.47,Education Fee,5/23/2024
46.74,Electronics Store,12/29/2023
961.18,Gas Station,10/1/2023
459.31,Lottery Ticket,6/22/2024
154.19,Video Game Store,3/6/2024
932.43,Gift Shop,7/1/2024
77.72,Music Instrument Store,5/13/2024
829.55,Property Tax,12/23/2023
550.78,Lottery Ticket,2/28/2024
262.51,Hair Salon,12/13/2023
817.23,Vet Visit,11/1/2023
114.44,Amazon,1/26/2024
62.88,Gift Shop,12/24/2023
625.69,Pet Store,8/25/2023
445.35,Furniture Store,7/28/2024
346.11,Pet Store,4/24/2024
689.42,Insurance Payment,5/25/2024
333.5,Pet Store,9/25/2023
48.14,Bank Fee,7/17/2024
962.06,Online Course,9/29/2023
673.92,Parking,8/9/2023
801.74,Insurance Payment,4/14/2024
150.05,Doctor's Visit,2/1/2024
853.59,Fitness Equipment,6/14/2024
904.26,Streaming Service,2/1/2024
328.4,House Cleaning,2/24/2024
460.66,Rent,3/1/2024
766.73,Business Service,5/10/2024
944.72,Furniture Store,1/31/2024
747.64,Movie Theater,1/6/2024
883.36,Spotify,8/26/2023
677.74,Concert Ticket,5/10/2024
978.32,Coffee Shop,9/25/2023
887.7,Utility Bill,10/23/2023
507.6,Lottery Ticket,5/23/2024
778.36,Mortgage,4/9/2024
626.25,Utility Bill,3/18/2024
480.84,Lottery Ticket,7/7/2024
838.29,Mortgage,8/21/2023
783.39,Bank Fee,11/26/2023
589.99,Butcher,4/20/2024
357.86,Public Transport,12/12/2023
782.11,Coffee Shop,2/21/2024
676.6,Spa,4/5/2024
136.53,Spa,6/11/2024
919.69,Legal Service,5/11/2024
976.47,Rent,2/2/2024
882.24,Hotel,2/28/2024
266.43,Accounting Service,4/2/2024
941.65,Charity Donation,4/18/2024
333.76,Restaurant,9/6/2023
309.81,Taxi,10/25/2023
930.24,Uber,11/3/2023
677.09,House Cleaning,6/14/2024
385.22,Fast Food,5/11/2024
709.05,Hardware Purchase,8/11/2023
420.44,Accounting Service,2/7/2024
381.53,Grocery Store,8/9/2023
838.62,Fast Food,11/20/2023
115.52,Dentist,9/26/2023
169.87,Clothing Store,5/10/2024
512.37,Hair Salon,12/9/2023
646.75,Insurance Payment,11/18/2023
486.92,Broker Fee,11/22/2023
892.6,Utility Bill,6/1/2024
480.74,Freelance Payment,6/6/2024
180.55,Music Instrument Store,2/4/2024
965.12,Hotel,3/15/2024
487.85,Restaurant,9/13/2023
229.5,Education Fee,11/17/2023
851.77,Video Game Store,1/6/2024
552.84,Consulting Fee,12/20/2023
188.46,Gift Shop,4/19/2024
353.88,Charity Donation,7/9/2024
216,Pharmacy,11/29/2023
882.1,Courier Service,2/27/2024
904.38,Utility Bill,9/3/2023
61.13,Grocery Store,1/27/2024
327.08,Parking,5/9/2024
493.17,Education Fee,3/30/2024
453.34,Fast Food,6/27/2024
325.24,Music Instrument Store,12/10/2023
217.89,Maintenance Fee,1/24/2024
941.1,Uber,10/27/2023
242.17,Taxi,5/25/2024
970.33,Maintenance Fee,3/1/2024
359.94,Online Course,11/3/2023
479.65,Deli,7/19/2024
145.67,Rent,9/1/2023
422.7,Vet Visit,8/20/2023
659.81,Gas Station,12/9/2023
168.37,Legal Service,10/1/2023
321.46,Pharmacy,3/9/2024
941.13,Accounting Service,3/15/2024
786.4,Hotel,2/5/2024
697.84,Hardware Purchase,12/22/2023
979.46,Accounting Service,2/22/2024
472.22,Mortgage,12/17/2023
446.85,Airline Ticket,10/20/2023
451.07,Pet Store,2/16/2024
389.43,Education Fee,4/23/2024
375.88,Fitness Equipment,11/14/2023
923.77,Spa,10/15/2023
676.51,Maintenance Fee,7/23/2024
272.55,Subscription Box,11/14/2023
413.4,Hotel,5/24/2024
47.94,Uber,8/21/2023
604.03,Video Game Store,6/16/2024
490.76,Fitness Equipment,8/2/2023
254.59,Restaurant,1/7/2024
611.11,Parking,4/18/2024
299.31,Rent,2/4/2024
490.26,Gardening Service,8/31/2023
821.91,Charity Donation,2/7/2024
864.89,Charity Donation,10/23/2023
574.18,Netflix,11/26/2023
111.95,Bank Fee,9/27/2023
331.39,Mortgage,8/17/2023
505.16,Subscription Box,6/24/2024
39.47,Florist,1/5/2024
103.2,Fitness Equipment,9/21/2023
153.77,Vet Visit,3/17/2024
868.71,Spotify,9/20/2023
221.49,Airline Ticket,9/17/2023
181.73,Butcher,3/14/2024
886.18,Gardening Service,3/22/2024
751.48,Investment,6/10/2024
941.18,Public Transport,2/18/2024
694.35,Furniture Store,10/13/2023
615.61,Public Transport,2/25/2024
783.92,Fast Food,2/7/2024
345.35,Streaming Service,7/23/2024
576.41,Video Game Store,6/6/2024
866.24,Pharmacy,11/23/2023
15.1,House Cleaning,11/29/2023
293.56,Fast Food,5/28/2024
317.1,Business Service,1/2/2024
520.39,Subscription Box,10/20/2023
778.84,Electronics Store,9/3/2023
672.27,Utility Bill,5/10/2024
280.26,Fitness Equipment,3/6/2024
754.93,Concert Ticket,9/13/2023
361.91,Investment,12/13/2023
210.35,Coffee Shop,8/19/2023
302.67,Bank Fee,1/10/2024
867.55,Property Tax,2/5/2024
804.97,Dentist,8/3/2023
550.12,Netflix,9/26/2023
976.39,Dentist,5/1/2024
978.21,Fast Food,2/23/2024
563.5,Deli,1/22/2024
347.52,Hair Salon,7/14/2024
215.03,Car Rental,9/5/2023
690.4,Lottery Ticket,10/23/2023
123.53,Uber,6/4/2024
548.79,Butcher,8/17/2023
643.98,Taxi,3/21/2024
260.95,Investment,11/2/2023
587.33,Concert Ticket,6/4/2024
618.18,Clothing Store,6/1/2024
257.52,Legal Service,8/9/2023
280.64,Amazon,5/8/2024
471.43,Courier Service,4/9/2024
642.79,Investment,11/2/2023
864.03,Subscription Box,6/27/2024
73.08,Gift Shop,8/6/2023
885.27,Online Course,4/2/2024
711.79,Parking,12/6/2023
292.25,Grocery Store,1/31/2024
286.35,Hotel,7/23/2024
520.32,Property Tax,10/22/2023
322.62,House Cleaning,9/16/2023
506.79,Florist,9/25/2023
517.67,Movie Theater,1/21/2024
396.53,Restaurant,9/4/2023
871.84,Fitness Equipment,4/3/2024
927.17,Restaurant,5/19/2024
764.38,Gym Membership,12/30/2023
38.82,Education Fee,8/12/2023
461.12,House Cleaning,6/3/2024
689.82,Video Game Store,6/12/2024
756.27,Furniture Store,3/10/2024
720.47,Deli,1/12/2024
855.26,Bank Fee,1/23/2024
484.55,Broker Fee,5/16/2024
389.18,Coffee Shop,1/12/2024
573.41,Spa,9/1/2023
988.82,Car Rental,11/24/2023
258.57,Broker Fee,12/28/2023
215.49,Gym Membership,12/15/2023
813.97,Freelance Payment,10/11/2023
946.52,Gift Shop,10/7/2023
40.62,Business Service,1/17/2024
761.91,Pharmacy,1/19/2024
826.39,Online Course,6/8/2024
111.63,Fast Food,5/28/2024
200.02,Bank Fee,1/28/2024
71.19,Airline Ticket,6/14/2024
593.59,Dentist,3/27/2024
566.17,Hotel,4/22/2024
171.94,Electronics Store,11/16/2023
957.55,Pharmacy,1/30/2024
928.36,Gym Membership,7/6/2024
200.31,Grocery Store,7/7/2024
862.11,Movie Theater,1/15/2024
670.98,Subscription Box,10/27/2023
639.57,Business Service,5/18/2024
966.84,Amazon,9/23/2023
494.57,Car Rental,1/8/2024
339.57,Pharmacy,5/26/2024
424.16,Parking,11/29/2023
742.33,Book Store,5/5/2024
454.98,Video Game Store,12/4/2023
640,Public Transport,11/10/2023
33.06,Deli,7/26/2024
885.85,Gardening Service,1/6/2024
514.8,Music Instrument Store,10/11/2023
78.81,Coffee Shop,10/21/2023
273.9,Butcher,4/18/2024
943.44,Mortgage,7/16/2024
130.68,Gift Shop,12/24/2023
182.31,Book Store,11/7/2023
721.56,Airline Ticket,1/31/2024
549.09,Subscription Box,6/12/2024
44.14,Hardware Purchase,7/22/2024
431.67,Streaming Service,8/12/2023
667.49,Home Improvement,5/7/2024
326.05,Deli,7/12/2024
85.83,Consulting Fee,10/19/2023
57.99,Hardware Purchase,3/10/2024
867.62,Hair Salon,7/30/2024
323.83,Spa,8/2/2023
581.65,Coffee Shop,10/13/2023
694.83,Clothing Store,11/8/2023
583.94,Parking,7/10/2024
500.27,Coffee Shop,1/23/2024
328.55,Amazon,9/27/2023
69.28,Consulting Fee,10/7/2023
699.22,Butcher,7/27/2024
268.22,Streaming Service,8/3/2023
278.16,Hardware Purchase,6/27/2024
769.45,Deli,12/27/2023
536.75,Broker Fee,2/23/2024
180.88,Mortgage,12/10/2023
248.75,Mortgage,2/19/2024
105.46,Investment,10/31/2023
595.34,Music Instrument Store,9/15/2023
556.38,Movie Theater,3/19/2024
614.07,Movie Theater,2/14/2024
893.14,Software Purchase,10/25/2023
326.83,Coffee Shop,2/24/2024
92.77,Subscription Box,2/28/2024
702.42,Doctor's Visit,9/2/2023
241.75,Concert Ticket,8/31/2023
919.05,Furniture Store,3/31/2024
128.87,Gift Shop,9/18/2023
601.15,Hotel,6/2/2024
361.9,Software Purchase,1/9/2024
753.79,Insurance Payment,1/21/2024
140.56,Clothing Store,12/12/2023
906.7,Airline Ticket,10/8/2023
94.21,Insurance Payment,11/9/2023
624.34,Education Fee,1/31/2024
209.39,Public Transport,1/18/2024
961.69,Education Fee,10/14/2023
990.71,Taxi,6/25/2024
589.05,Bakery,5/19/2024
488.27,Taxi,7/31/2024
356.5,Concert Ticket,4/3/2024
172.9,Parking,5/18/2024
387.82,Insurance Payment,2/6/2024
22.91,House Cleaning,5/30/2024
223.52,Mortgage,4/6/2024
31.62,Pet Store,9/14/2023
602.99,Home Improvement,8/13/2023
708.7,Spotify,12/19/2023
828.4,Uber,12/19/2023
763.82,Movie Theater,10/20/2023
969.17,Vet Visit,8/16/2023
394.12,Doctor's Visit,9/12/2023
567.15,Concert Ticket,9/28/2023
89.55,Butcher,6/13/2024
39.81,Spa,5/14/2024
636.1,Lottery Ticket,4/11/2024
738.31,Public Transport,1/3/2024
109.67,Doctor's Visit,3/18/2024
280.18,Movie Theater,8/29/2023
812.95,Amazon,3/21/2024
936.62,Consulting Fee,10/15/2023
994.76,Broker Fee,4/7/2024
755.09,Restaurant,3/17/2024
557.26,Netflix,6/12/2024
860.23,Gas Station,10/27/2023
618.94,Utility Bill,9/15/2023
968.39,Education Fee,2/9/2024
830.85,Concert Ticket,6/17/2024
544.65,Broker Fee,11/26/2023
962.72,Investment,12/28/2023
32.24,Gym Membership,9/15/2023
401.84,Public Transport,8/22/2023
836.55,Clothing Store,1/26/2024
655.27,Electronics Store,3/22/2024
984.66,Vet Visit,9/14/2023
866.34,Book Store,5/18/2024
945.56,Hotel,8/11/2023
239.8,Hair Salon,9/10/2023
923.03,Pet Store,7/30/2024
98.57,Fast Food,3/26/2024
804.22,Clothing Store,1/20/2024
70.97,Airline Ticket,8/26/2023
738.72,Subscription Box,2/23/2024
505.9,Airline Ticket,7/22/2024
374.4,Gift Shop,10/6/2023
715.53,House Cleaning,9/7/2023
864.57,Hardware Purchase,6/27/2024
370.34,Subscription Box,5/7/2024
177.89,Florist,5/15/2024
580.11,Gardening Service,10/5/2023
751.25,Broker Fee,9/3/2023
126.33,Utility Bill,9/17/2023
373.36,Accounting Service,3/23/2024
924.6,House Cleaning,3/18/2024
306.62,Pharmacy,1/22/2024
641.85,Grocery Store,10/12/2023
673.1,Business Service,7/23/2024
302.71,Subscription Box,6/12/2024
352,Deli,2/26/2024
803.61,Grocery Store,6/3/2024
799.48,Lottery Ticket,12/12/2023
420.13,Parking,5/20/2024
882.5,Charity Donation,8/30/2023
443.56,Hardware Purchase,6/12/2024
404.79,Doctor's Visit,7/11/2024
923.02,Gym Membership,10/2/2023
833.07,Mortgage,4/25/2024
673.79,Public Transport,4/28/2024
421.97,Music Instrument Store,1/1/2024
463.94,Video Game Store,12/15/2023
56.08,Legal Service,4/17/2024
319.35,Doctor's Visit,9/3/2023
596.6,Childcare Service,2/25/2024
565.54,Concert Ticket,6/28/2024
673.87,Fast Food,7/8/2024
426.19,Maintenance Fee,9/23/2023
238.33,Childcare Service,7/23/2024
170.56,Uber,7/14/2024
468,Freelance Payment,3/7/2024
166.23,Parking,4/23/2024
751.31,Property Tax,12/7/2023
890.27,Bakery,12/12/2023
520,Florist,11/4/2023
530.34,Car Rental,5/22/2024
74.11,Amazon,5/14/2024
607.15,Freelance Payment,7/26/2024
497.47,Amazon,9/23/2023
920.65,Insurance Payment,7/15/2024
826.05,Consulting Fee,12/9/2023
988.65,Courier Service,5/24/2024
477.79,Freelance Payment,9/30/2023
858.27,Spotify,4/27/2024
874.61,Utility Bill,3/28/2024
564.38,Online Course,9/9/2023
