Amount_Spent,Transaction_Type,Date,Gemini_Category
355.09,Gift Shop,10/23/2023,Personal Care
958.64,Bank Fee,12/17/2023,Other
120.06,Car Rental,11/7/2023,Transportation
979.78,Florist,1/16/2024,Personal Care
613.52,Gift Shop,10/6/2023,Personal Care
531.75,Fast Food,5/12/2024,Food
224.1,Freelance Payment,9/3/2023,Services
731.51,Broker Fee,8/15/2023,other
179.92,Restaurant,5/16/2024,Food
835.11,Consulting Fee,3/11/2024,Services
169.32,Hardware Purchase,11/17/2023,Shopping
456.84,Movie Theater,1/31/2024,Entertainment
860.58,Coffee Shop,3/7/2024,Food
983.28,Accounting Service,7/11/2024,Services
667.78,Freelance Payment,5/2/2024,Services
861.81,Education Fee,9/14/2023,Services
693.04,Insurance Payment,8/23/2023,other
457.19,House Cleaning,8/14/2023,Home
320.09,House Cleaning,8/14/2023,Home
87.12,Butcher,1/15/2024,Food
253.54,Concert Ticket,8/2/2023,Entertainment
600.83,Doctor's Visit,2/21/2024,Health
936.16,Pet Store,12/4/2023,other
743.09,Video Game Store,11/14/2023,other
829.11,Florist,1/14/2024,Personal Care
920.75,Deli,10/12/2023,other
602.29,Online Course,2/15/2024,Entertainment
528.31,Taxi,6/30/2024,Transportation
319.58,Pet Store,3/15/2024,other
440.57,Streaming Service,1/14/2024,Entertainment
331.18,Gardening Service,12/7/2023,Services
472.47,Deli,9/6/2023,other
385.83,Book Store,10/18/2023,Shopping
550.6,Software Purchase,12/12/2023,other
371.17,Home Improvement,3/19/2024,Home
276.72,Clothing Store,11/2/2023,Shopping
639.94,Car Rental,3/3/2024,Transportation
141.16,Business Service,1/18/2024,Services
870.71,Clothing Store,8/5/2023,Shopping
620.9,Freelance Payment,6/7/2024,Services
910.95,Courier Service,3/14/2024,Transportation
416.88,Taxi,7/23/2024,Transportation
663.65,Business Service,8/30/2023,Services
72.15,Florist,7/2/2024,Personal Care
338.36,Florist,12/14/2023,Personal Care
634.59,Pet Store,12/22/2023,other
627.59,Vet Visit,6/2/2024,Health
854.12,Spotify,12/5/2023,other
603.98,Gift Shop,6/10/2024,Personal Care
737.83,Subscription Box,9/10/2023,Entertainment
347.73,Mortgage,1/11/2024,Investments
677.03,Spotify,8/24/2023,other
194.06,Software Purchase,3/25/2024,other
434.45,Charity Donation,9/26/2023,Charity
395.56,Pharmacy,11/17/2023,Health
162.97,Software Purchase,10/27/2023,other
698.11,Home Improvement,12/25/2023,Home
534.58,Taxi,3/6/2024,Transportation
706.74,Netflix,3/17/2024,Entertainment
526.95,Pet Store,6/5/2024,other
857.73,Hair Salon,5/17/2024,Personal Care
405.63,Fast Food,4/15/2024,Food
557.27,Hardware Purchase,11/6/2023,Shopping
590.77,Online Course,4/16/2024,Entertainment
292.8,Charity Donation,4/14/2024,Charity
871.92,Online Course,11/29/2023,Entertainment
783.41,Gas Station,2/9/2024,Transportation
83.7,Spa,8/19/2023,Personal Care
528.24,Deli,3/27/2024,other
285.99,Property Tax,11/16/2023,Home
409.08,Bank Fee,3/30/2024,Other
740.95,Online Course,6/11/2024,Entertainment
874.99,Gas Station,11/16/2023,Transportation
154.95,Dentist,9/23/2023,Health
387.36,Broker Fee,12/3/2023,other
788.99,Software Purchase,1/3/2024,other
664.9,Childcare Service,5/10/2024,Services
920.76,Freelance Payment,9/9/2023,Services
86.54,Public Transport,12/24/2023,Transportation
793.57,Clothing Store,8/17/2023,Shopping
715.5,Courier Service,10/2/2023,Transportation
85.26,Streaming Service,11/21/2023,Entertainment
606.92,Movie Theater,5/30/2024,Entertainment
726.07,Gas Station,3/7/2024,Transportation
381.61,House Cleaning,2/29/2024,Home
725.13,Education Fee,11/12/2023,Services
134.52,Electronics Store,5/18/2024,Shopping
724.35,Spa,8/25/2023,Personal Care
545.52,Grocery Store,12/6/2023,Food
524.33,Hair Salon,7/31/2024,Personal Care
524.69,Accounting Service,12/23/2023,Services
406.03,Hair Salon,2/20/2024,Personal Care
200.62,Spotify,1/19/2024,other
457.07,Subscription Box,8/22/2023,Entertainment
32.31,Clothing Store,4/30/2024,Shopping
998.22,Spa,11/8/2023,Personal Care
782.36,Pet Store,3/26/2024,other
863.62,Hotel,5/26/2024,other
35.02,Grocery Store,7/25/2024,Food
428.94,Gas Station,10/17/2023,Transportation
103.9,Fast Food,10/23/2023,Food
989.56,Butcher,6/17/2024,Food
665.04,Software Purchase,8/13/2023,other
221.66,Restaurant,2/10/2024,Food
827.04,Property Tax,12/24/2023,Home
487.86,Utility Bill,3/17/2024,other
236.09,Clothing Store,4/7/2024,Shopping
15.84,Gardening Service,8/12/2023,Services
497.26,Coffee Shop,4/16/2024,Food
33.19,Spa,2/17/2024,Personal Care
957.03,Accounting Service,3/12/2024,Services
717.9,Dentist,4/10/2024,Health
358.41,Bakery,7/30/2024,Food
64.05,Electronics Store,3/1/2024,Shopping
439.14,Accounting Service,5/19/2024,Services
691.4,Taxi,1/14/2024,Transportation
322.39,Freelance Payment,1/8/2024,Services
606.62,Electronics Store,5/16/2024,Shopping
238.89,Clothing Store,8/28/2023,Shopping
122.32,Investment,7/31/2024,Investments
831.06,Insurance Payment,5/10/2024,other
825.0,Uber,5/28/2024,Transportation
786.29,Restaurant,10/27/2023,Food
332.26,Video Game Store,10/12/2023,other
39.27,Maintenance Fee,7/5/2024,Services
852.15,Insurance Payment,3/16/2024,other
526.03,Gift Shop,10/22/2023,Personal Care
517.94,House Cleaning,2/23/2024,Home
905.12,Public Transport,6/14/2024,Transportation
21.54,Broker Fee,5/26/2024,other
540.83,Deli,10/28/2023,other
214.88,Subscription Box,8/22/2023,Entertainment
544.44,Utility Bill,3/2/2024,other
417.87,Deli,9/28/2023,other
739.24,Freelance Payment,11/7/2023,Services
786.9,Courier Service,9/7/2023,Transportation
972.64,House Cleaning,9/7/2023,Home
190.57,Netflix,7/30/2024,Entertainment
344.82,Fast Food,6/19/2024,Food
901.26,Hardware Purchase,9/5/2023,Shopping
93.95,Bank Fee,6/27/2024,Other
713.37,Clothing Store,2/10/2024,Shopping
312.25,Education Fee,9/5/2023,Services
251.45,Amazon,1/28/2024,Shopping
65.9,Broker Fee,7/9/2024,other
833.63,Business Service,9/11/2023,Services
514.74,Book Store,7/7/2024,Shopping
423.36,Charity Donation,3/11/2024,Charity
310.83,Music Instrument Store,3/23/2024,Shopping
526.65,Butcher,9/18/2023,Food
905.47,Mortgage,1/20/2024,Investments
893.99,Home Improvement,12/26/2023,Home
129.31,Education Fee,5/12/2024,Services
977.69,Legal Service,3/19/2024,Services
248.49,Investment,1/11/2024,Investments
724.12,Concert Ticket,10/5/2023,Entertainment
744.64,Legal Service,6/4/2024,Services
149.01,Online Course,3/27/2024,Entertainment
958.42,Business Service,12/25/2023,Services
963.42,Online Course,6/18/2024,Entertainment
492.77,Car Rental,8/27/2023,Transportation
102.7,Childcare Service,8/23/2023,Services
371.87,Concert Ticket,4/6/2024,Entertainment
851.93,Florist,1/4/2024,Personal Care
219.94,Education Fee,9/24/2023,Services
501.9,Gas Station,4/6/2024,Transportation
684.19,Accounting Service,10/8/2023,Services
362.61,Clothing Store,3/15/2024,Shopping
174.8,Utility Bill,11/30/2023,other
518.9,Freelance Payment,10/23/2023,Services
623.45,Gift Shop,5/24/2024,Personal Care
343.56,Bank Fee,11/20/2023,Other
16.14,Book Store,5/23/2024,Shopping
41.5,Hair Salon,11/9/2023,Personal Care
656.0,Education Fee,2/8/2024,Services
653.48,Uber,11/28/2023,Transportation
653.81,Bank Fee,6/18/2024,Other
693.54,Parking,7/27/2024,Transportation
517.76,Grocery Store,11/19/2023,Food
240.69,Butcher,6/29/2024,Food
100.52,Furniture Store,10/27/2023,Shopping
316.65,Fitness Equipment,12/5/2023,other
42.69,Spotify,6/1/2024,other
498.41,Concert Ticket,5/17/2024,Entertainment
929.04,Bakery,1/13/2024,Food
926.35,Childcare Service,2/9/2024,Services
25.21,Deli,4/25/2024,other
308.48,Taxi,6/10/2024,Transportation
536.81,Charity Donation,9/9/2023,Charity
930.61,Broker Fee,3/13/2024,other
398.53,Uber,5/8/2024,Transportation
613.75,Hotel,12/18/2023,other
30.26,Rent,3/30/2024,other
582.58,Mortgage,3/13/2024,Investments
878.09,Fitness Equipment,10/9/2023,other
190.0,Property Tax,5/10/2024,Home
538.81,Vet Visit,8/24/2023,Health
42.38,Deli,9/3/2023,other
990.23,Courier Service,11/1/2023,Transportation
81.11,Charity Donation,12/24/2023,Charity
693.56,Music Instrument Store,2/25/2024,Shopping
894.27,Broker Fee,6/11/2024,other
542.57,Bank Fee,11/27/2023,Other
520.88,Electronics Store,6/3/2024,Shopping
195.81,Accounting Service,7/5/2024,Services
107.94,Coffee Shop,2/15/2024,Food
791.04,Streaming Service,1/7/2024,Entertainment
105.86,Gardening Service,8/25/2023,Services
416.43,Consulting Fee,1/26/2024,Services
699.26,Online Course,12/10/2023,Entertainment
542.52,Business Service,1/20/2024,Services
940.44,Utility Bill,9/30/2023,other
963.65,Coffee Shop,8/18/2023,Food
795.12,Gas Station,6/5/2024,Transportation
790.67,Spa,9/9/2023,Personal Care
152.6,Public Transport,6/3/2024,Transportation
245.24,Clothing Store,4/16/2024,Shopping
986.04,Restaurant,6/3/2024,Food
227.98,Dentist,9/30/2023,Health
189.75,Clothing Store,2/20/2024,Shopping
437.03,Software Purchase,9/18/2023,other
657.4,Book Store,6/8/2024,Shopping
98.97,Hotel,11/1/2023,other
570.47,Education Fee,7/17/2024,Services
654.06,Uber,11/11/2023,Transportation
842.23,Restaurant,6/12/2024,Food
324.83,Hair Salon,1/14/2024,Personal Care
64.98,Dentist,8/11/2023,Health
492.92,Insurance Payment,12/27/2023,other
78.58,Clothing Store,11/13/2023,Shopping
61.39,Rent,9/7/2023,other
640.95,Dentist,5/1/2024,Health
708.43,Coffee Shop,2/3/2024,Food
76.08,Courier Service,3/17/2024,Transportation
951.3,Spa,1/28/2024,Personal Care
88.13,Charity Donation,12/19/2023,Charity
731.18,Childcare Service,7/5/2024,Services
54.9,Grocery Store,4/15/2024,Food
732.26,Butcher,3/19/2024,Food
567.98,Spotify,8/3/2023,other
718.57,Software Purchase,8/25/2023,other
546.6,Gas Station,2/17/2024,Transportation
486.78,Property Tax,5/29/2024,Home
277.44,Accounting Service,6/30/2024,Services
334.38,Childcare Service,2/4/2024,Services
746.76,Mortgage,5/20/2024,Investments
900.08,Furniture Store,12/10/2023,Shopping
302.9,Rent,7/22/2024,other
722.88,Home Improvement,12/13/2023,Home
378.83,Clothing Store,1/30/2024,Shopping
875.23,Utility Bill,3/19/2024,other
320.57,Clothing Store,3/2/2024,Shopping
861.75,Movie Theater,5/15/2024,Entertainment
712.61,Florist,8/23/2023,Personal Care
133.37,Book Store,3/11/2024,Shopping
975.45,Accounting Service,1/19/2024,Services
418.91,Online Course,7/7/2024,Entertainment
840.79,Lottery Ticket,7/7/2024,Other
71.96,Hardware Purchase,10/13/2023,Shopping
195.48,Gardening Service,7/5/2024,Services
737.37,Hotel,5/3/2024,other
559.92,House Cleaning,5/20/2024,Home
796.91,Fast Food,8/31/2023,Food
797.03,Amazon,2/5/2024,Shopping
708.04,Maintenance Fee,10/20/2023,Services
616.98,Lottery Ticket,5/21/2024,Other
493.86,Home Improvement,6/3/2024,Home
737.18,Coffee Shop,2/24/2024,Food
325.36,Clothing Store,9/10/2023,Shopping
875.54,Vet Visit,7/4/2024,Health
468.07,Gym Membership,4/2/2024,other
907.93,Charity Donation,11/26/2023,Charity
518.89,Furniture Store,4/1/2024,Shopping
723.95,Music Instrument Store,8/30/2023,Shopping
435.33,Broker Fee,6/20/2024,other
685.01,Movie Theater,3/15/2024,Entertainment
121.88,Amazon,6/29/2024,Shopping
40.84,Hardware Purchase,3/17/2024,Shopping
391.67,Insurance Payment,9/6/2023,other
467.03,Broker Fee,4/12/2024,other
302.21,Coffee Shop,4/24/2024,Food
705.06,Airline Ticket,10/27/2023,Transportation
978.62,Streaming Service,1/25/2024,Entertainment
611.37,Music Instrument Store,11/24/2023,Shopping
856.33,Clothing Store,2/26/2024,Shopping
319.38,Concert Ticket,7/30/2024,Entertainment
259.53,Concert Ticket,11/6/2023,Entertainment
430.3,Pharmacy,12/8/2023,Health
987.04,Gift Shop,8/8/2023,Personal Care
329.41,Fitness Equipment,7/28/2024,other
725.36,Butcher,11/10/2023,Food
120.95,Clothing Store,3/20/2024,Shopping
23.72,Online Course,7/29/2024,Entertainment
45.41,Hair Salon,9/21/2023,Personal Care
571.6,Gardening Service,7/25/2024,Services
543.27,Grocery Store,4/10/2024,Food
427.87,Spa,11/15/2023,Personal Care
282.98,Legal Service,6/19/2024,Services
603.1,Furniture Store,6/25/2024,Shopping
802.9,Furniture Store,1/14/2024,Shopping
743.23,Childcare Service,2/27/2024,Services
521.05,Deli,8/21/2023,other
310.73,Property Tax,12/9/2023,Home
572.6,Clothing Store,9/26/2023,Shopping
170.73,Charity Donation,7/7/2024,Charity
170.38,Airline Ticket,6/7/2024,Transportation
816.89,Dentist,3/3/2024,Health
239.53,Freelance Payment,6/19/2024,Services
479.08,Public Transport,9/21/2023,Transportation
480.55,Electronics Store,12/30/2023,Shopping
739.03,House Cleaning,4/24/2024,Home
374.41,Uber,12/7/2023,Transportation
192.26,Gift Shop,7/16/2024,Personal Care
502.54,Gardening Service,9/28/2023,Services
827.77,Freelance Payment,5/19/2024,Services
238.69,Insurance Payment,9/18/2023,other
182.86,Concert Ticket,7/1/2024,Entertainment
528.36,Online Course,7/13/2024,Entertainment
602.45,Video Game Store,4/28/2024,other
691.72,Electronics Store,10/12/2023,Shopping
661.41,Home Improvement,9/2/2023,Home
814.92,Amazon,2/24/2024,Shopping
810.47,Education Fee,5/23/2024,Services
46.74,Electronics Store,12/29/2023,Shopping
961.18,Gas Station,10/1/2023,Transportation
459.31,Lottery Ticket,6/22/2024,Other
154.19,Video Game Store,3/6/2024,other
932.43,Gift Shop,7/1/2024,Personal Care
77.72,Music Instrument Store,5/13/2024,Shopping
829.55,Property Tax,12/23/2023,Home
550.78,Lottery Ticket,2/28/2024,Other
262.51,Hair Salon,12/13/2023,Personal Care
817.23,Vet Visit,11/1/2023,Health
114.44,Amazon,1/26/2024,Shopping
62.88,Gift Shop,12/24/2023,Personal Care
625.69,Pet Store,8/25/2023,other
445.35,Furniture Store,7/28/2024,Shopping
346.11,Pet Store,4/24/2024,other
689.42,Insurance Payment,5/25/2024,other
333.5,Pet Store,9/25/2023,other
48.14,Bank Fee,7/17/2024,Other
962.06,Online Course,9/29/2023,Entertainment
673.92,Parking,8/9/2023,Transportation
801.74,Insurance Payment,4/14/2024,other
150.05,Doctor's Visit,2/1/2024,Health
853.59,Fitness Equipment,6/14/2024,other
904.26,Streaming Service,2/1/2024,Entertainment
328.4,House Cleaning,2/24/2024,Home
460.66,Rent,3/1/2024,other
766.73,Business Service,5/10/2024,Services
944.72,Furniture Store,1/31/2024,Shopping
747.64,Movie Theater,1/6/2024,Entertainment
883.36,Spotify,8/26/2023,other
677.74,Concert Ticket,5/10/2024,Entertainment
978.32,Coffee Shop,9/25/2023,Food
887.7,Utility Bill,10/23/2023,other
507.6,Lottery Ticket,5/23/2024,Other
778.36,Mortgage,4/9/2024,Investments
626.25,Utility Bill,3/18/2024,other
480.84,Lottery Ticket,7/7/2024,Other
838.29,Mortgage,8/21/2023,Investments
783.39,Bank Fee,11/26/2023,Other
589.99,Butcher,4/20/2024,Food
357.86,Public Transport,12/12/2023,Transportation
782.11,Coffee Shop,2/21/2024,Food
676.6,Spa,4/5/2024,Personal Care
136.53,Spa,6/11/2024,Personal Care
919.69,Legal Service,5/11/2024,Services
976.47,Rent,2/2/2024,other
882.24,Hotel,2/28/2024,other
266.43,Accounting Service,4/2/2024,Services
941.65,Charity Donation,4/18/2024,Charity
333.76,Restaurant,9/6/2023,Food
309.81,Taxi,10/25/2023,Transportation
930.24,Uber,11/3/2023,Transportation
677.09,House Cleaning,6/14/2024,Home
385.22,Fast Food,5/11/2024,Food
709.05,Hardware Purchase,8/11/2023,Shopping
420.44,Accounting Service,2/7/2024,Services
381.53,Grocery Store,8/9/2023,Food
838.62,Fast Food,11/20/2023,Food
115.52,Dentist,9/26/2023,Health
169.87,Clothing Store,5/10/2024,Shopping
512.37,Hair Salon,12/9/2023,Personal Care
646.75,Insurance Payment,11/18/2023,other
486.92,Broker Fee,11/22/2023,other
892.6,Utility Bill,6/1/2024,other
480.74,Freelance Payment,6/6/2024,Services
180.55,Music Instrument Store,2/4/2024,Shopping
965.12,Hotel,3/15/2024,other
487.85,Restaurant,9/13/2023,Food
229.5,Education Fee,11/17/2023,Services
851.77,Video Game Store,1/6/2024,other
552.84,Consulting Fee,12/20/2023,Services
188.46,Gift Shop,4/19/2024,Personal Care
353.88,Charity Donation,7/9/2024,Charity
216.0,Pharmacy,11/29/2023,Health
882.1,Courier Service,2/27/2024,Transportation
904.38,Utility Bill,9/3/2023,other
61.13,Grocery Store,1/27/2024,Food
327.08,Parking,5/9/2024,Transportation
493.17,Education Fee,3/30/2024,Services
453.34,Fast Food,6/27/2024,Food
325.24,Music Instrument Store,12/10/2023,Shopping
217.89,Maintenance Fee,1/24/2024,Services
941.1,Uber,10/27/2023,Transportation
242.17,Taxi,5/25/2024,Transportation
970.33,Maintenance Fee,3/1/2024,Services
359.94,Online Course,11/3/2023,Entertainment
479.65,Deli,7/19/2024,other
145.67,Rent,9/1/2023,other
422.7,Vet Visit,8/20/2023,Health
659.81,Gas Station,12/9/2023,Transportation
168.37,Legal Service,10/1/2023,Services
321.46,Pharmacy,3/9/2024,Health
941.13,Accounting Service,3/15/2024,Services
786.4,Hotel,2/5/2024,other
697.84,Hardware Purchase,12/22/2023,Shopping
979.46,Accounting Service,2/22/2024,Services
472.22,Mortgage,12/17/2023,Investments
446.85,Airline Ticket,10/20/2023,Transportation
451.07,Pet Store,2/16/2024,other
389.43,Education Fee,4/23/2024,Services
375.88,Fitness Equipment,11/14/2023,other
923.77,Spa,10/15/2023,Personal Care
676.51,Maintenance Fee,7/23/2024,Services
272.55,Subscription Box,11/14/2023,Entertainment
413.4,Hotel,5/24/2024,other
47.94,Uber,8/21/2023,Transportation
604.03,Video Game Store,6/16/2024,other
490.76,Fitness Equipment,8/2/2023,other
254.59,Restaurant,1/7/2024,Food
611.11,Parking,4/18/2024,Transportation
299.31,Rent,2/4/2024,other
490.26,Gardening Service,8/31/2023,Services
821.91,Charity Donation,2/7/2024,Charity
864.89,Charity Donation,10/23/2023,Charity
574.18,Netflix,11/26/2023,Entertainment
111.95,Bank Fee,9/27/2023,Other
331.39,Mortgage,8/17/2023,Investments
505.16,Subscription Box,6/24/2024,Entertainment
39.47,Florist,1/5/2024,Personal Care
103.2,Fitness Equipment,9/21/2023,other
153.77,Vet Visit,3/17/2024,Health
868.71,Spotify,9/20/2023,other
221.49,Airline Ticket,9/17/2023,Transportation
181.73,Butcher,3/14/2024,Food
886.18,Gardening Service,3/22/2024,Services
751.48,Investment,6/10/2024,Investments
941.18,Public Transport,2/18/2024,Transportation
694.35,Furniture Store,10/13/2023,Shopping
615.61,Public Transport,2/25/2024,Transportation
783.92,Fast Food,2/7/2024,Food
345.35,Streaming Service,7/23/2024,Entertainment
576.41,Video Game Store,6/6/2024,other
866.24,Pharmacy,11/23/2023,Health
15.1,House Cleaning,11/29/2023,Home
293.56,Fast Food,5/28/2024,Food
317.1,Business Service,1/2/2024,Services
520.39,Subscription Box,10/20/2023,Entertainment
778.84,Electronics Store,9/3/2023,Shopping
672.27,Utility Bill,5/10/2024,other
280.26,Fitness Equipment,3/6/2024,other
754.93,Concert Ticket,9/13/2023,Entertainment
361.91,Investment,12/13/2023,Investments
210.35,Coffee Shop,8/19/2023,Food
302.67,Bank Fee,1/10/2024,Other
867.55,Property Tax,2/5/2024,Home
804.97,Dentist,8/3/2023,Health
550.12,Netflix,9/26/2023,Entertainment
976.39,Dentist,5/1/2024,Health
978.21,Fast Food,2/23/2024,Food
563.5,Deli,1/22/2024,other
347.52,Hair Salon,7/14/2024,Personal Care
215.03,Car Rental,9/5/2023,Transportation
690.4,Lottery Ticket,10/23/2023,Other
123.53,Uber,6/4/2024,Transportation
548.79,Butcher,8/17/2023,Food
643.98,Taxi,3/21/2024,Transportation
260.95,Investment,11/2/2023,Investments
587.33,Concert Ticket,6/4/2024,Entertainment
618.18,Clothing Store,6/1/2024,Shopping
257.52,Legal Service,8/9/2023,Services
280.64,Amazon,5/8/2024,Shopping
471.43,Courier Service,4/9/2024,Transportation
642.79,Investment,11/2/2023,Investments
864.03,Subscription Box,6/27/2024,Entertainment
73.08,Gift Shop,8/6/2023,Personal Care
885.27,Online Course,4/2/2024,Entertainment
711.79,Parking,12/6/2023,Transportation
292.25,Grocery Store,1/31/2024,Food
286.35,Hotel,7/23/2024,other
520.32,Property Tax,10/22/2023,Home
322.62,House Cleaning,9/16/2023,Home
506.79,Florist,9/25/2023,Personal Care
517.67,Movie Theater,1/21/2024,Entertainment
396.53,Restaurant,9/4/2023,Food
871.84,Fitness Equipment,4/3/2024,other
927.17,Restaurant,5/19/2024,Food
764.38,Gym Membership,12/30/2023,other
38.82,Education Fee,8/12/2023,Services
461.12,House Cleaning,6/3/2024,Home
689.82,Video Game Store,6/12/2024,other
756.27,Furniture Store,3/10/2024,Shopping
720.47,Deli,1/12/2024,other
855.26,Bank Fee,1/23/2024,Other
484.55,Broker Fee,5/16/2024,other
389.18,Coffee Shop,1/12/2024,Food
573.41,Spa,9/1/2023,Personal Care
988.82,Car Rental,11/24/2023,Transportation
258.57,Broker Fee,12/28/2023,other
215.49,Gym Membership,12/15/2023,other
813.97,Freelance Payment,10/11/2023,Services
946.52,Gift Shop,10/7/2023,Personal Care
40.62,Business Service,1/17/2024,Services
761.91,Pharmacy,1/19/2024,Health
826.39,Online Course,6/8/2024,Entertainment
111.63,Fast Food,5/28/2024,Food
200.02,Bank Fee,1/28/2024,Other
71.19,Airline Ticket,6/14/2024,Transportation
593.59,Dentist,3/27/2024,Health
566.17,Hotel,4/22/2024,other
171.94,Electronics Store,11/16/2023,Shopping
957.55,Pharmacy,1/30/2024,Health
928.36,Gym Membership,7/6/2024,other
200.31,Grocery Store,7/7/2024,Food
862.11,Movie Theater,1/15/2024,Entertainment
670.98,Subscription Box,10/27/2023,Entertainment
639.57,Business Service,5/18/2024,Services
966.84,Amazon,9/23/2023,Shopping
494.57,Car Rental,1/8/2024,Transportation
339.57,Pharmacy,5/26/2024,Health
424.16,Parking,11/29/2023,Transportation
742.33,Book Store,5/5/2024,Shopping
454.98,Video Game Store,12/4/2023,other
640.0,Public Transport,11/10/2023,Transportation
33.06,Deli,7/26/2024,other
885.85,Gardening Service,1/6/2024,Services
514.8,Music Instrument Store,10/11/2023,Shopping
78.81,Coffee Shop,10/21/2023,Food
273.9,Butcher,4/18/2024,Food
943.44,Mortgage,7/16/2024,Investments
130.68,Gift Shop,12/24/2023,Personal Care
182.31,Book Store,11/7/2023,Shopping
721.56,Airline Ticket,1/31/2024,Transportation
549.09,Subscription Box,6/12/2024,Entertainment
44.14,Hardware Purchase,7/22/2024,Shopping
431.67,Streaming Service,8/12/2023,Entertainment
667.49,Home Improvement,5/7/2024,Home
326.05,Deli,7/12/2024,other
85.83,Consulting Fee,10/19/2023,Services
57.99,Hardware Purchase,3/10/2024,Shopping
867.62,Hair Salon,7/30/2024,Personal Care
323.83,Spa,8/2/2023,Personal Care
581.65,Coffee Shop,10/13/2023,Food
694.83,Clothing Store,11/8/2023,Shopping
583.94,Parking,7/10/2024,Transportation
500.27,Coffee Shop,1/23/2024,Food
328.55,Amazon,9/27/2023,Shopping
69.28,Consulting Fee,10/7/2023,Services
699.22,Butcher,7/27/2024,Food
268.22,Streaming Service,8/3/2023,Entertainment
278.16,Hardware Purchase,6/27/2024,Shopping
769.45,Deli,12/27/2023,other
536.75,Broker Fee,2/23/2024,other
180.88,Mortgage,12/10/2023,Investments
248.75,Mortgage,2/19/2024,Investments
105.46,Investment,10/31/2023,Investments
595.34,Music Instrument Store,9/15/2023,Shopping
556.38,Movie Theater,3/19/2024,Entertainment
614.07,Movie Theater,2/14/2024,Entertainment
893.14,Software Purchase,10/25/2023,other
326.83,Coffee Shop,2/24/2024,Food
92.77,Subscription Box,2/28/2024,Entertainment
702.42,Doctor's Visit,9/2/2023,Health
241.75,Concert Ticket,8/31/2023,Entertainment
919.05,Furniture Store,3/31/2024,Shopping
128.87,Gift Shop,9/18/2023,Personal Care
601.15,Hotel,6/2/2024,other
361.9,Software Purchase,1/9/2024,other
753.79,Insurance Payment,1/21/2024,other
140.56,Clothing Store,12/12/2023,Shopping
906.7,Airline Ticket,10/8/2023,Transportation
94.21,Insurance Payment,11/9/2023,other
624.34,Education Fee,1/31/2024,Services
209.39,Public Transport,1/18/2024,Transportation
961.69,Education Fee,10/14/2023,Services
990.71,Taxi,6/25/2024,Transportation
589.05,Bakery,5/19/2024,Food
488.27,Taxi,7/31/2024,Transportation
356.5,Concert Ticket,4/3/2024,Entertainment
172.9,Parking,5/18/2024,Transportation
387.82,Insurance Payment,2/6/2024,other
22.91,House Cleaning,5/30/2024,Home
223.52,Mortgage,4/6/2024,Investments
31.62,Pet Store,9/14/2023,other
602.99,Home Improvement,8/13/2023,Home
708.7,Spotify,12/19/2023,other
828.4,Uber,12/19/2023,Transportation
763.82,Movie Theater,10/20/2023,Entertainment
969.17,Vet Visit,8/16/2023,Health
394.12,Doctor's Visit,9/12/2023,Health
567.15,Concert Ticket,9/28/2023,Entertainment
89.55,Butcher,6/13/2024,Food
39.81,Spa,5/14/2024,Personal Care
636.1,Lottery Ticket,4/11/2024,Other
738.31,Public Transport,1/3/2024,Transportation
109.67,Doctor's Visit,3/18/2024,Health
280.18,Movie Theater,8/29/2023,Entertainment
812.95,Amazon,3/21/2024,Shopping
936.62,Consulting Fee,10/15/2023,Services
994.76,Broker Fee,4/7/2024,other
755.09,Restaurant,3/17/2024,Food
557.26,Netflix,6/12/2024,Entertainment
860.23,Gas Station,10/27/2023,Transportation
618.94,Utility Bill,9/15/2023,other
968.39,Education Fee,2/9/2024,Services
830.85,Concert Ticket,6/17/2024,Entertainment
544.65,Broker Fee,11/26/2023,other
962.72,Investment,12/28/2023,Investments
32.24,Gym Membership,9/15/2023,other
401.84,Public Transport,8/22/2023,Transportation
836.55,Clothing Store,1/26/2024,Shopping
655.27,Electronics Store,3/22/2024,Shopping
984.66,Vet Visit,9/14/2023,Health
866.34,Book Store,5/18/2024,Shopping
945.56,Hotel,8/11/2023,other
239.8,Hair Salon,9/10/2023,Personal Care
923.03,Pet Store,7/30/2024,other
98.57,Fast Food,3/26/2024,Food
804.22,Clothing Store,1/20/2024,Shopping
70.97,Airline Ticket,8/26/2023,Transportation
738.72,Subscription Box,2/23/2024,Entertainment
505.9,Airline Ticket,7/22/2024,Transportation
374.4,Gift Shop,10/6/2023,Personal Care
715.53,House Cleaning,9/7/2023,Home
864.57,Hardware Purchase,6/27/2024,Shopping
370.34,Subscription Box,5/7/2024,Entertainment
177.89,Florist,5/15/2024,Personal Care
580.11,Gardening Service,10/5/2023,Services
751.25,Broker Fee,9/3/2023,other
126.33,Utility Bill,9/17/2023,other
373.36,Accounting Service,3/23/2024,Services
924.6,House Cleaning,3/18/2024,Home
306.62,Pharmacy,1/22/2024,Health
641.85,Grocery Store,10/12/2023,Food
673.1,Business Service,7/23/2024,Services
302.71,Subscription Box,6/12/2024,Entertainment
352.0,Deli,2/26/2024,other
803.61,Grocery Store,6/3/2024,Food
799.48,Lottery Ticket,12/12/2023,Other
420.13,Parking,5/20/2024,Transportation
882.5,Charity Donation,8/30/2023,Charity
443.56,Hardware Purchase,6/12/2024,Shopping
404.79,Doctor's Visit,7/11/2024,Health
923.02,Gym Membership,10/2/2023,other
